2023.10.24 20:18	14.560	Spike M	198 ISK	2.879.968 ISK	Pomoya	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 20:18	6.000	Javelin M	213 ISK	1.278.000 ISK	Pomoya	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 20:08	2	X-Large Ancillary Shield Booster	6.400.000 ISK	12.800.000 ISK	Aivanen Kion	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 20:06	5.000	Caldari Navy Nova Rocket	797 ISK	3.984.500 ISK	Kuatto	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:58	1.642	Republic Fleet Phased Plasma S	700 ISK	1.149.400 ISK	Kuatto	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:56	500	Republic Fleet Phased Plasma S	700 ISK	350.000 ISK	Gengar 6x31IV's	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:50	10.000	Republic Fleet EMP M	1.497 ISK	14.970.000 ISK	Nusson	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:36	34	Scorch L	477.600 ISK	16.238.400 ISK	Synodica	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:33	10.000	Scourge Rage Rocket	120 ISK	1.197.000 ISK	Psycho Inkunen	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:31	7.087	Scourge Rage Rocket	120 ISK	848.314 ISK	Psycho Inkunen	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:21	135	Caldari Navy Scourge Rocket	796 ISK	107.460 ISK	Viking Egill	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:17	1	Caldari Navy Hookbill	12.850.000 ISK	12.850.000 ISK	Psycho Inkunen	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 19:11	1	Caldari Navy Large Shield Extender	31.410.000 ISK	31.410.000 ISK	Lady Shevan	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 18:30	1.640	Republic Fleet Phased Plasma S	700 ISK	1.148.000 ISK	Callisidrin	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 18:27	2	Medium Auxiliary Nano Pump I	2.690.000 ISK	5.380.000 ISK	Soii Fon	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 18:27	2	Medium Auxiliary Nano Pump I	2.690.000 ISK	5.380.000 ISK	LordHarrow	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 18:24	1.500	Scourge Rage Rocket	120 ISK	179.550 ISK	Sovda	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 18:18	441	Scourge Rage Torpedo	2.338 ISK	1.031.058 ISK	Mr OpticTroller	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 18:18	1	Small Energy Nosferatu II	2.615.000 ISK	2.615.000 ISK	MoonRider2	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:48	2	Entropic Radiation Sink II	4.435.000 ISK	8.870.000 ISK	LotrLudwik01	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:46	2.000	Republic Fleet Phased Plasma S	700 ISK	1.400.000 ISK	Gokahn Gengod	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:41	1	Medium Higgs Anchor I	938.000 ISK	938.000 ISK	Mirjana Duh	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:29	2	Small Energy Nosferatu II	2.615.000 ISK	5.230.000 ISK	Maeve Morgana	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:17	1	Small Energy Nosferatu II	2.615.000 ISK	2.615.000 ISK	Goron the Wise	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:15	1	Medium Higgs Anchor I	938.000 ISK	938.000 ISK	BiGsnorlax	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:15	2.000	Republic Fleet Phased Plasma S	700 ISK	1.400.000 ISK	Jean Katelo	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
2023.10.24 17:07	2	Caldari Navy Large Shield Extender	31.410.000 ISK	62.820.000 ISK	ServantDe Draxx	Dodixie IX - Moon 20 - Federation Navy Assembly Plant
